SubcategoryIDOld,CategoryIDOld,InstitutionID,SubcategoryTitle,SubcategoryIDNew,CategoryIDNew,SubcategoryTitleNew
3673,144,47,"Repairs of Horn",NULL,NULL,NULL
3674,81,47,"logitics for uniform $ others",NULL,NULL,NULL
3675,144,47,"Welding of back sits ",NULL,NULL,NULL
3676,117,47,NSITF,NULL,NULL,NULL
3696,137,47,"Carliber  Repairs",NULL,NULL,NULL
3697,137,47,"Relay and carliber transportation",NULL,NULL,NULL
3698,144,47,"Road worthiness Renewal ",NULL,NULL,NULL
3699,138,47,"Repairs of tyres",NULL,NULL,NULL
3700,74,47,"party balance",NULL,NULL,NULL
3701,117,47,"Staff monthly contribution Refund",NULL,NULL,NULL
3702,476,47,"school signage",NULL,NULL,NULL
3958,83,47,"MR. Joseph olaniran ( science books )",NULL,NULL,NULL
3924,94,47,"THINGS FOR THE STORE",NULL,NULL,NULL
3925,105,47,"Inverter  repairs",NULL,NULL,NULL
3926,94,47,"store Rag",NULL,NULL,NULL
3927,92,47,"Napps building contribution ",NULL,NULL,NULL
3928,94,47,"President ",NULL,NULL,NULL
3929,94,47,"minister pictures ",NULL,NULL,NULL
3959,71,47,"swinging poll replaced",NULL,NULL,NULL
3960,70,47,"ayemode ayomide ",NULL,NULL,NULL
3961,70,47,"mrs libabatu",NULL,NULL,NULL
3962,523,47,"ethan treatment",NULL,NULL,NULL
3963,523,47,"david treatment",NULL,NULL,NULL
3964,94,47,"keys repairs",NULL,NULL,NULL
3965,144,47,"Fan Repairs",NULL,NULL,NULL
3966,524,47,"picture board",NULL,NULL,NULL
3967,105,47,"cctv cable wire",NULL,NULL,NULL
3968,524,47,"t.v cable wire",NULL,NULL,NULL
3969,61,47,insectides,NULL,NULL,NULL
3970,524,47,"T.V Repairs",NULL,NULL,NULL
3972,105,47,"CCTV Repairs",NULL,NULL,NULL
3981,143,47,"patching of tyres",NULL,NULL,NULL
3982,67,47,HDMI,NULL,NULL,NULL
